continent,location,date,total_vaccinations,population,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred
South America,Argentina,12/1/2021,68874746,45605823,151.02,65.46
South America,Bolivia,12/1/2021,8650059,11832936,73.1,35.25
South America,Brazil,12/1/2021,310770495,213993441,145.22,62.92
South America,Chile,12/1/2021,41219894,19212362,214.55,84.2
South America,Colombia,12/1/2021,58251973,51265841,113.63,48.82
South America,Ecuador,12/1/2021,25309620,17888474,141.49,64.3
South America,Falkland Islands,12/1/2021,,3528,,
South America,Guyana,12/1/2021,681103,790329,86.18,35.39
South America,Paraguay,12/1/2021,,7219641,,
South America,Peru,12/1/2021,42588150,33359415,127.66,56.34
South America,Suriname,12/1/2021,476893,591798,80.58,37.05
South America,Uruguay,12/1/2021,6798407,3485152,195.07,76.27
South America,Venezuela,12/1/2021,,28704947,,
